row_id,Ref,area_name,Angular Connectivity,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
65,65,Mimico Village,2.2714152,4,0.91670632,1.0527816,381.09256,206139.0,7978.2856,70707,626635.81
86,86,Long Branch,4.0174494,6,1.0263255,0.89106452,95.88369,1056724.0,6752.7432,70707,740362.75
87,87,Long Branch,3.0105014,5,1.1145273,0.98983675,89.673004,3095818.0,7501.27,70707,666484.44
87,87,Lakeshore Village,3.0105014,5,1.1145273,0.98983675,89.673004,3095818.0,7501.27,70707,666484.44
88,88,Long Branch,3.0112338,5,1.3410467,1.0933821,380.87711,56497924.0,8285.9697,70707,603366.94
88,88,Lakeshore Village,3.0112338,5,1.3410467,1.0933821,380.87711,56497924.0,8285.9697,70707,603366.94
89,89,Long Branch,4.0253468,6,1.1414479,0.9880082,81.686104,4451143.0,7487.4126,70707,667717.94
89,89,Lakeshore Village,4.0253468,6,1.1414479,0.9880082,81.686104,4451143.0,7487.4126,70707,667717.94
91,91,Lakeshore Village,2.0116334,4,1.207805,0.9848336,76.478828,10880867.0,7463.355,70707,669870.31
92,92,Lakeshore Village,3.0636144,4,0.93386781,0.89214474,101.93973,302548.0,6760.9297,70707,739466.31
93,93,Lakeshore Village,2.0020854,4,1.2116187,0.98550522,13.334946,11442542.0,7468.4443,70707,669413.81
94,94,Long Branch,3.0287771,5,1.2143862,0.98550475,90.354469,11875344.0,7468.4409,70707,669414.12
94,94,Lakeshore Village,3.0287771,5,1.2143862,0.98550475,90.354469,11875344.0,7468.4409,70707,669414.12
95,95,Long Branch,2.9667089,4,0.82984728,0.89293569,97.289177,74128.0,6766.9233,70707,738811.31
95,95,Lakeshore Village,2.9667089,4,0.82984728,0.89293569,97.289177,74128.0,6766.9233,70707,738811.31
96,96,Long Branch,2.921782,3,0.41797087,0.8199864,88.19854,293.0,6214.0918,70707,804539.12
96,96,Lakeshore Village,2.921782,3,0.41797087,0.8199864,88.19854,293.0,6214.0918,70707,804539.12
97,97,Lakeshore Village,1.9671216,4,0.93214732,0.89120632,59.391403,295885.0,6753.8184,70707,740244.94
98,98,Lakeshore Village,3.1571803,4,0.38627023,0.82049626,58.128345,190.0,6217.9556,70707,804039.19
99,99,Lakeshore Village,3.8388858,4,0.28488338,0.76986617,65.349747,48.0,5834.2656,70707,856916.75
100,100,Lakeshore Village,2.9970164,4,0.87774426,0.81967074,58.232311,152653.0,6211.6997,70707,804848.94
101,101,Long Branch,2.0258934,3,0.0,0.89677548,97.641922,0.0,6796.0229,70707,735647.88
101,101,Lakeshore Village,2.0258934,3,0.0,0.89677548,97.641922,0.0,6796.0229,70707,735647.88
105,105,Shop The Queensway,3.9864171,5,1.0373706,0.91441953,275.19223,1194357.0,6929.7349,70707,721453.25
106,106,Shop The Queensway,2.0127602,4,1.1790901,1.0095932,18.459133,7188792.0,7650.9912,70707,653442.12
107,107,Shop The Queensway,2.0183513,4,1.176893,1.0087522,107.20992,6987223.0,7644.6172,70707,653986.94
108,108,Danforth Mosaic,3.0203862,4,0.8334797,0.8874532,50.156601,78258.0,6725.3755,70707,743375.56
108,108,Danforth Village,3.0203862,4,0.8334797,0.8874532,50.156601,78258.0,6725.3755,70707,743375.56
108,108,Crossroads of the Danforth,3.0203862,4,0.8334797,0.8874532,50.156601,78258.0,6725.3755,70707,743375.56
109,109,Danforth Mosaic,2.986089,4,0.88244939,0.8874532,48.747726,151720.0,6725.3755,70707,743375.56
109,109,Danforth Village,2.986089,4,0.88244939,0.8874532,48.747726,151720.0,6725.3755,70707,743375.56
109,109,Crossroads of the Danforth,2.986089,4,0.88244939,0.8874532,48.747726,151720.0,6725.3755,70707,743375.56
111,111,West Queen West,4.0079613,6,0.93173146,1.007912,51.000557,262353.0,7638.2505,70707,654532.06
111,111,Trinity-Bellwoods,4.0079613,6,0.93173146,1.007912,51.000557,262353.0,7638.2505,70707,654532.06
111,111,Chinatown,4.0079613,6,0.93173146,1.007912,51.000557,262353.0,7638.2505,70707,654532.06
111,111,Kensington Market,4.0079613,6,0.93173146,1.007912,51.000557,262353.0,7638.2505,70707,654532.06
111,111,Little Italy,4.0079613,6,0.93173146,1.007912,51.000557,262353.0,7638.2505,70707,654532.06
112,112,The Beach,8.1710854,10,1.0808971,1.052246,167.22499,1845942.0,7974.2266,70707,626954.81
113,113,Toronto Downtown West,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
113,113,Queen Street West,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
113,113,West Queen West,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
113,113,Ossington Avenue,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
113,113,Little Portugal Toronto,4.0033484,5,0.78105968,1.0056655,56.546364,34941.0,7621.2256,70707,655994.19
