segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,nain,nach,integrated,length_penalty,NAIN_adjusted,NACH_adjusted
43,5372,178.06152,972,5305.9414,2.7035103,4,13.262795,0.724892153,1.001398362,1529.428762,0.999852387,0.724785149,1.001250543
44,0,142.99007,972,6607.3398,4.8738904,4,15.931769,0.582158761,0,99.11316387,0.999803971,0.582044641,0
45,10,144.91829,972,6519.4258,4.5068626,4,19.958849,0.590006723,0.273015465,360.1084225,0.999722751,0.589843145,0.272939771
46,3179,170.66956,972,5535.75,2.3600874,4,12.67811,0.694810179,0.935624329,1376.44162,0.999862369,0.694714551,0.935495558
47,3125,172.11409,972,5489.2891,3.9026804,5,397.75424,0.700688854,0.934550653,1385.144826,0.974534102,0.682845183,0.910751482
48,34541,216.64369,972,4361.0039,2.9976301,4,117.73932,0.881888982,1.246838106,2263.917939,0.995914996,0.878286462,1.241744767
49,2179,172.0087,972,5492.6523,3.9882526,5,395.93994,0.700259972,0.892630832,1322.323549,0.974708335,0.682549232,0.870054712
50,1551,171.94926,972,5494.5508,4.0156565,4,395.96536,0.700018104,0.853140995,1263.473503,0.974705897,0.682311774,0.831561559
51,37559,269.77451,972,3502.125,1.9362928,4,121.03817,1.098044467,1.2905806,2841.729572,0.995741461,1.093368402,1.285084612
52,46015,211.4971,972,4467.125,3.1212175,4,116.28288,0.860948187,1.277397403,2270.794909,0.995990843,0.857496511,1.272276116
53,39933,211.52097,972,4466.6211,2.006506,4,105.47115,0.861045271,1.260548376,2241.066456,0.996538814,0.858065033,1.256185383
54,34758,211.54538,972,4466.1055,2.0023906,4,105.1338,0.861144632,1.244052829,2211.965579,0.996555476,0.858178399,1.239767659
55,30147,211.56168,972,4465.7617,2.0035951,4,106.21786,0.861210898,1.227131176,2182.0275,0.996501837,0.858198242,1.222838471
56,83352,271.77765,972,3476.3125,2.1940951,4,313.87729,1.106193037,1.389504547,3079.472296,0.982156385,1.086454555,1.364710764
57,1936,166.63776,972,5669.6875,2.8050263,4,12.836203,0.678402163,0.875683141,1261.349826,0.999859693,0.678306978,0.875560277
58,0,153.20285,972,6166.8828,1.7562553,2,27.872391,0.62372478,0,106.1921235,0.999538039,0.623436644,0
59,1322,160.73543,972,5877.8828,2.3826659,4,45.638813,0.654381252,0.828122414,1155.432612,0.999022942,0.653741883,0.827313291
60,2717,218.37399,972,4326.4492,2.9617803,4,249.86037,0.888929242,0.944400676,1726.905759,0.98733359,0.8776697,0.93243851
61,416,216.29477,972,4368.0391,3.9491181,5,225.68391,0.880469254,0.719701992,1305.443068,0.989129872,0.870898441,0.71187874
62,88300,276.18259,972,3420.8672,2.9826961,5,172.75304,1.1241117,1.39933285,3145.310408,0.99272672,1.115935721,1.38915511
63,28096,272.83133,972,3462.8867,3.0099971,5,152.14336,1.110479332,1.256749506,2794.735091,0.993991794,1.103807344,1.249198697
64,32256,272.83102,972,3462.8906,3.1289935,5,135.23097,1.110478082,1.273689208,2832.40106,0.994967984,1.104890139,1.267279984
65,5144,216.39946,972,4365.9258,4.008306,6,213.80583,0.880895245,1.019506429,1849.344374,0.989978286,0.872067165,1.009289227
66,2171,214.2933,972,4408.8359,3.9995341,4,213.87755,0.872325599,0.91555784,1646.600569,0.989973232,0.863578993,0.906377755
67,170,174.09583,972,5426.8047,3.4960048,5,60.439934,0.708753636,0.597891601,896.1573234,0.998505611,0.707694482,0.596998118
68,278,194.78372,972,4850.4258,1.9269717,3,18.404715,0.792940526,0.66347588,1097.56528,0.999755199,0.792746414,0.663313461
69,500,199.131,972,4744.5352,0.87135375,2,168.99524,0.810630261,0.73435634,1238.31606,0.992963344,0.804926135,0.729188927
70,1111,206.94855,972,4565.3086,0.39515394,2,110.29067,0.842440353,0.832324685,1451.705659,0.996297863,0.839321523,0.829243305
71,1718,215.7809,972,4378.4414,1.2707345,3,243.94202,0.878378391,0.88841739,1607.584875,0.987781739,0.867646135,0.877562475
72,7705,212.27225,972,4450.8125,3.0096598,4,115.94176,0.864102198,1.065254746,1899.812075,0.996008539,0.860653167,1.061002823
73,9240,220.76529,972,4279.5859,0.36917078,2,88.698868,0.898658852,1.091971343,2015.921246,0.997333861,0.896262902,1.089059996
74,10771,230.41208,972,4100.4102,4.1850648,5,78.361351,0.93790842,1.116007362,2139.329685,0.997788292,0.93583404,1.113539079
75,960,199.57332,972,4734.0195,1.2983558,3,57.132,0.812430157,0.811513859,1370.872019,0.998627479,0.81131508,0.81040004
76,1567,207.1703,972,4560.4219,0.39051515,2,131.46843,0.84334267,0.873214617,1524.399207,0.995177205,0.839275401,0.869003282
77,2170,216.28355,972,4368.2656,3.908756,5,58.977276,0.880423622,0.916511902,1661.793824,0.998559923,0.879155744,0.915192054
78,21422,272.84119,972,3462.7617,4.6822987,7,474.15125,1.110519395,1.223482084,2720.845214,0.966846535,1.073701829,1.182919413
79,4143,214.692,972,4400.6484,3.1320107,5,124.85331,0.873947842,0.992756793,1788.31095,0.995537788,0.870048101,0.988326902
80,3251,200.23918,972,4718.2773,1.6089149,3,76.095924,0.815139625,0.955931859,1619.400914,0.997884042,0.813414824,0.953909148
81,956,167.02441,972,5656.5625,1.3472967,3,206.47649,0.679975713,0.794320388,1146.59715,0.990490215,0.67350929,0.786766572
82,1858,176.44441,972,5354.5703,2.0369141,3,47.379723,0.718311317,0.876725007,1328.332057,0.998965949,0.717568547,0.875818429
83,0,166.76471,972,5665.3711,1.0081017,2,37.95343,0.67891885,0,115.5924886,0.99926124,0.678417291,0
84,0,123.14891,972,7671.8828,1.5968686,2,73.198051,0.50140003,0,85.36031976,0.998004447,0.50039946,0
85,834,210.77589,972,4482.4102,2.4606671,4,167.57271,0.858013629,0.80006702,1418.232684,0.993052236,0.852052353,0.794508343
86,580,199.27193,972,4741.1797,1.959964,3,106.23491,0.811203731,0.751919199,1268.658853,0.996500991,0.808365321,0.749288227
87,1556,172.03464,972,5491.8242,3.9875944,4,348.97156,0.700365525,0.853563648,1264.653859,0.979077168,0.685711895,0.83570468
88,11562,155.343,972,6081.9219,1.671852,3,99.876877,0.632434987,1.073677782,1453.335065,0.996811633,0.630418552,1.070254504
89,13092,172.20882,972,5486.2695,2.6318889,3,301.46933,0.701074367,1.100955514,1632.52401,0.983205392,0.689300098,1.082465398
90,20843,211.60239,972,4464.9023,1.9995619,4,105.5551,0.861376589,1.183248877,2104.358131,0.996534663,0.858391629,1.17914852
91,16186,211.61832,972,4464.5664,2.0189264,4,104.77979,0.861441368,1.153173828,2051.010155,0.996572933,0.85848915,1.149221824
92,0,211.17616,972,4473.9141,0.91361421,2,72.053314,0.859642295,0,146.3761599,0.998051358,0.857967159,0
93,0,167.2878,972,5647.6562,1.0769234,2,189.91187,0.681047648,0,115.9550669,0.991613689,0.675336171,0
94,604,134.99226,972,6998.8008,2.6212482,3,136.95671,0.54960642,0.723433975,864.8792089,0.994871036,0.546787509,0.719723508
95,0,124.39526,972,7595.0156,1.1128086,2,22.316912,0.506473235,0,86.22422374,0.999671016,0.506306613,0
96,0,120.31998,972,7852.2617,1.3902465,2,76.955162,0.48988501,0,83.3994549,0.997847892,0.488830724,0
97,605,135.19835,972,6988.1328,1.9447113,2,144.37436,0.550445203,0.723745145,866.4225185,0.994447377,0.547388788,0.719726461
98,1208,158.19701,972,5972.1992,1.9953004,3,92.707474,0.644050347,0.81624435,1122.941802,0.997150171,0.642214913,0.813918193
99,3015,158.19058,972,5972.4414,2.0069168,4,93.282715,0.644024238,0.92136929,1267.425812,0.997123478,0.642171687,0.91871895
100,255333,273.28171,972,3457.1797,2.9160228,5,307.78668,1.112311415,1.527820832,3402.447934,0.982673951,1.093039453,1.501349733
101,272683,269.8877,972,3500.6562,3.3826694,5,166.26434,1.09850492,1.533538358,3377.934037,0.993133662,1.090962213,1.523008565
102,86567,273.42352,972,3455.3867,1.902244,4,81.808052,1.11288826,1.395177678,3108.469169,0.997639931,1.110261766,1.391884962
103,0,213.71313,972,4420.8047,0.93134922,2,89.714401,0.86996495,0,148.1346535,0.997287712,0.867605354,0
104,0,213.15393,972,4432.4023,1.1393139,2,87.977219,0.86768967,0,147.7470456,0.997366495,0.865404604,0
105,3,178.54564,972,5291.5547,4.0342808,4,113.91755,0.726862248,0.16167765,287.3581221,0.996113007,0.724036939,0.16104921
106,280,219.61227,972,4302.0547,2.8199627,3,150.0573,0.893967511,0.673836183,1239.032019,0.994115297,0.888706777,0.669870857
107,362,224.97932,972,4199.4258,2.9297404,3,221.94142,0.915804598,0.706473461,1326.737667,0.989399662,0.90609676,0.698984604
108,1581,214.06343,972,4413.5703,3.1694262,4,325.49872,0.871390286,0.877676748,1577.021785,0.981154844,0.854968801,0.861136793
109,2182,214.27014,972,4409.3125,2.9321189,4,326.25906,0.872231352,0.916148008,1647.504537,0.981088684,0.85573631,0.898822444
110,250456,271.7532,972,3476.625,3.5127535,5,184.82817,1.106093663,1.524405963,3378.176671,0.991948937,1.097188433,1.512132875
111,251438,272.44748,972,3467.7656,2.0797679,4,144.90947,1.108917867,1.525362691,3387.873426,0.994416383,1.102726094,1.51684565
112,252235,273.23758,972,3457.7383,1.9278103,4,61.450817,1.112131824,1.526292595,3398.563011,0.998467684,1.110427687,1.523953833
113,0,149.45937,972,6321.3438,0.70666587,1,3.0380383,0.608488988,0,103.5973409,0.999986551,0.608480804,0
114,1585,167.64796,972,5635.5234,2.6341043,3,76.528954,0.682513365,0.853149049,1235.498527,0.997865849,0.681056779,0.851328301
115,0,185.0011,972,5106.9102,1.3820307,2,55.556137,0.753132257,0,128.2329909,0.99868431,0.752141368,0
116,0,185.1165,972,5103.7266,2.8284316,3,76.178535,0.753601861,0,128.3129801,0.997880576,0.752004659,0
117,0,272.16022,972,3471.4258,3.3166914,4,197.99664,1.10774932,0,188.6470892,0.99107123,1.097858482,0
118,934,174.91673,972,5401.3359,3.995214,5,93.165276,0.712094369,0.7958791,1196.713007,0.997128934,0.710049899,0.793594079
119,5492,112.91853,972,8366.9531,2.6632786,3,45.779591,0.459757036,0.953370803,972.3879692,0.999018373,0.459305726,0.952434949
120,3927,108.90931,972,8674.9609,1.7566047,3,37.104275,0.443436949,0.912592763,901.3487208,0.999286183,0.443120416,0.911941338
121,8613,128.58304,972,7347.6562,1.6938783,3,55.807487,0.523519055,1.017815041,1165.124376,0.998675299,0.522825549,1.01646674
122,10169,133.41653,972,7081.4609,1.2788968,3,58.022434,0.543192815,1.040779645,1231.073789,0.998595015,0.542429638,1.039317365
123,6230,211.11902,972,4475.125,4.004735,6,149.76064,0.859409793,1.03929273,1844.642428,0.99413279,0.854367455,1.033194982
124,2154,174.92963,972,5400.9375,2.9760659,4,78.54731,0.712146877,0.893036692,1342.761577,0.99778037,0.710566174,0.891054481
